# source: BNO @ https://bnonews.com/index.php/2020/01/the-latest-coronavirus-cases/
# update: 2020-01-24 14:55:00 CST
# place|confirmed_cases|deaths|notes|sources
Heilongjiang|16|1|1 serious|http://www.bjnews.com.cn/news/2020/01/26/679950.html
Guizhou|5|0|Stable|https://mp.weixin.qq.com/s?__biz=MjM5MTg5OTM0Ng==&amp;mid=2651448582&amp;idx=1&amp;sn=0e6ee35bbc50d59095131e03455c11fe
Jilin|4|0|1 serious|https://m.weibo.cn/status/4464541943826172
Xinjiang|4|0|Stable|http://www.xjhfpc.gov.cn/info/1495/17245.htm
Ningxia|4|0||http://wsjkw.nx.gov.cn/info/1140/13242.htm
Hebei|13|1||http://www.hebwst.gov.cn/index.do?id=395078&amp;templet=content&amp;cid=14
Gansu|7|0|1 serious|http://www.bjnews.com.cn/news/2020/01/26/679564.html
Shanxi|9|0||http://wjw.shanxi.gov.cn/wjywl02/24349.hrh
Inner Mongolia|7|0||https://m.weibo.cn/status/4464909008158168
Qinghai|1|0||https://wsjkw.qinghai.gov.cn/zhxw/xwzx/2020/01/25/1579942170563.html
Hong Kong|6|0||https://news.rthk.hk/rthk/ch/component/k2/1504936-20200126.htm
Taiwan|4|0||https://www.cdc.gov.tw/Bulletin/Detail/1lqFGlxtUhCpE_quNLIfLg?typeid=9
Macau|5|0||https://www.tdm.com.mo/c_news/radio_news.php?id=452507
CHINA TOTAL|2,084|56||
Thailand|8|0||https://www.channelnewsasia.com/news/asia/wuhan-virus-thailand-public-anger-coronavirus-12348838
Singapore|4|0|Stable|https://www.straitstimes.com/singapore/health/singapore-confirms-2-more-wuhan-virus-cases-bringing-total-to-three-infected
France|3|0||https://solidarites-sante.gouv.fr/actualites/presse/communiques-de-presse/article/cp-coronavirus
Malaysia|4|0||https://twitter.com/bernamadotcom/status/1220913295021883392
Japan|4|0||https://www.mhlw.go.jp/stf/newpage_09100.html
South Korea|3|0||https://en.yna.co.kr/view/AEN20200126000500320?section=news
United States|5|0||https://www.azdhs.gov/director/public-information-office/index.php#news-release-012620
Vietnam|2|0|Stable|https://www.moh.gov.vn/web/guest/tin-noi-bat/-/asset_publisher/hwUjUacn23Hf/content/hai-ca-duong-tinh-ncov-ang-ieu-tri-tai-bv-cho-ray
Nepal|1|0||https://kathmandupost.com/2/2020/01/24/officials-confirm-novel-coronavirus-in-nepali-man-who-returned-from-wuhan-earlier-this-month
Australia|4|0||https://www.sbs.com.au/news/calm-urged-as-china-s-coronavirus-reaches-australia-with-4-confirmed-cases
INTERNATIONAL TOTAL|38|0||
# source: BNO @ https://bnonews.com/index.php/2020/01/the-latest-coronavirus-cases/
# update: 2020-01-27 4:18:00 ET
# place|confirmed_cases|deaths|notes|sources
<strong>MAINLAND CHINA</strong>|<strong>Cases</strong>|<strong>Deaths</strong>|<strong>Notes</strong>|
Hubei|1,423|76|221 serious, 69 critical|http://wjw.hubei.gov.cn/fbjd/dtyw/202001/t20200127_2015306.shtml
Guangdong|146|0|20 serious, 6 critical|http://wsjkw.gd.gov.cn/zwyw_yqxx/content/post_2879365.html
Zhejiang|128|0|18 serious|https://www.zjwjw.gov.cn/art/2020/1/27/art_1202101_41857304.html
Chongqing|110|0|13 serious, 1 critical|http://wsjkw.cq.gov.cn/tzgg/20200127/249875.html
Hunan|100|0|22 serious|http://www.bjnews.com.cn/news/2020/01/27/680091.html
Anhui|70|0||http://wjw.ah.gov.cn/news_details_54053.html
Beijing|72|0||https://m.weibo.cn/status/4465363921960355
Shanghai|53|1|2 critical|https://m.weibo.cn/status/4465258158216535
Henan|128|1|17 serious|https://m.weibo.cn/status/4465260038006999
Sichuan|69|0|3 critical|https://m.weibo.cn/status/4465278295913574
Shandong|75|0||https://m.weibo.cn/status/4465338337115732
Guangxi|46|0|3 serious|http://wsjkw.gxzf.gov.cn/gzdt/bt/2020/0127/68028.html
Jiangxi|48|0|6 serious|http://hc.jiangxi.gov.cn/doc/2020/01/27/137701.shtml
Fujian|56|0|3 serious, 1 critical|http://www.bjnews.com.cn/news/2020/01/27/680237.html
Jiangsu|47|0|1 serious|https://m.weibo.cn/status/4465265679169440
Hainan|31|1|4 serious|http://wst.hainan.gov.cn/swjw/rdzt/yqfk/202001/t20200127_2741242.html
Liaoning|24|0|14 serious|https://m.weibo.cn/detail/4465321303643644
Tianjin|18|0||https://m.weibo.cn/detail/4465334419626065
Shaanxi|35|0||http://sxwjw.shaanxi.gov.cn/art/2020/1/27/art_9_67483.html
Yunnan|19|0|2 serious|http://www.bjnews.com.cn/news/2020/01/27/680103.html
Heilongjiang|21|1|3 serious|http://wsjkw.hlj.gov.cn/index.php/Home/Zwgk/show/newsid/7725/navid/42/stypeid/
Guizhou|7|0|1 serious|https://mp.weixin.qq.com/s?__biz=MjM5MTg5OTM0Ng==&amp;mid=2651448627&amp;idx=1&amp;sn=e26391f0e764bfd4fc2a9a1bc15502ff&amp;chksm=bd53ce8e8a2447985560b9a62b2a5f567693ac25032b0209cc489c49d91862fd480e4664094e&amp;token=566312186&amp;lang=zh_CN#rd
Jilin|6|0||https://m.weibo.cn/status/4465279285636514
Xinjiang|5|0|1 serious|http://www.xjhfpc.gov.cn/info/1495/17361.htm
Ningxia|7|0||http://wsjkw.nx.gov.cn/info/1140/13291.htm
Hebei|18|1||http://www.bjnews.com.cn/news/2020/01/27/680119.html
Gansu|14|0|3 serious|http://www.bjnews.com.cn/news/2020/01/27/680112.html
Shanxi|13|0||http://wjw.shanxi.gov.cn/wjywl02/24356.hrh
Inner Mongolia|11|0||http://wjw.nmg.gov.cn/doc/2020/01/27/285096.shtml
Qinghai|4|0||https://wsjkw.qinghai.gov.cn/zhxw/xwzx/2020/01/26/1580018654048.html
CHINA TOTAL|2,804|81||
<strong>REGIONS</strong>|<strong>Cases</strong>|<strong>Deaths</strong>|<strong>Notes</strong>|
Hong Kong|8|0||https://www.info.gov.hk/gia/general/202001/27/P2020012700049.htm
Taiwan|5|0||https://www.cdc.gov.tw/Bulletin/Detail/gOZvd4ZaGpSDVoVRC2Qesg?typeid=9
Macau|6|0||https://www.tdm.com.mo/c_news/radio_news.php?id=452638
CHINA TOTAL|19|0||
Thailand|8|0||https://www.channelnewsasia.com/news/asia/wuhan-virus-thailand-public-anger-coronavirus-12348838
Singapore|4|0|Stable|https://www.straitstimes.com/singapore/health/singapore-confirms-2-more-wuhan-virus-cases-bringing-total-to-three-infected
France|3|0||https://solidarites-sante.gouv.fr/actualites/presse/communiques-de-presse/article/cp-coronavirus
Malaysia|4|0||https://twitter.com/bernamadotcom/status/1220913295021883392
Japan|4|0||https://www.mhlw.go.jp/stf/newpage_09100.html
South Korea|4|0||https://en.yna.co.kr/view/AEN20200127002400320?section=science/medicine
United States|5|0||https://www.azdhs.gov/director/public-information-office/index.php#news-release-012620
Vietnam|2|0|Stable|https://www.moh.gov.vn/web/guest/tin-noi-bat/-/asset_publisher/hwUjUacn23Hf/content/hai-ca-duong-tinh-ncov-ang-ieu-tri-tai-bv-cho-ray
Nepal|1|0||https://kathmandupost.com/2/2020/01/24/officials-confirm-novel-coronavirus-in-nepali-man-who-returned-from-wuhan-earlier-this-month
Australia|5|0||https://twitter.com/7NewsSydney/status/1221654335794237440
INTERNATIONAL TOTAL|40|0||
# source: BNO @ https://bnonews.com/index.php/2020/01/the-latest-coronavirus-cases/
# update: 2020-01-27 16:34:00 ET
# place|confirmed_cases|deaths|notes|sources
Hubei|1,423|76|221 serious, 69 critical|http://wjw.hubei.gov.cn/fbjd/dtyw/202001/t20200127_2015306.shtml
Guangdong|151|0||http://wsjkw.gd.gov.cn/zwyw_yqxx/content/post_2879455.html
Zhejiang|128|0|18 serious|https://www.zjwjw.gov.cn/art/2020/1/27/art_1202101_41857304.html
Chongqing|110|0|13 serious, 1 critical|http://wsjkw.cq.gov.cn/tzgg/20200127/249875.html
Hunan|100|0|22 serious|http://www.bjnews.com.cn/news/2020/01/27/680091.html
Anhui|70|0||http://wjw.ah.gov.cn/news_details_54053.html
Beijing|80|1|12 serious, 2 critical|https://m.weibo.cn/status/4465486110924457
Shanghai|53|1|2 critical|https://m.weibo.cn/status/4465258158216535
Henan|128|1|17 serious|https://m.weibo.cn/status/4465260038006999
Sichuan|69|0|3 critical|https://m.weibo.cn/status/4465278295913574
Shandong|75|0||https://m.weibo.cn/status/4465338337115732
Guangxi|46|0|3 serious|http://wsjkw.gxzf.gov.cn/gzdt/bt/2020/0127/68028.html
Jiangxi|48|0|6 serious|http://hc.jiangxi.gov.cn/doc/2020/01/27/137701.shtml
Fujian|59|0|3 serious, 1 critical|https://mp.weixin.qq.com/s/_bvLKwgVAxWLChb-dciN0w
Jiangsu|47|0|1 serious|https://m.weibo.cn/status/4465265679169440
Hainan|33|1|5 serious|http://wst.hainan.gov.cn/swjw/rdzt/yqfk/202001/t20200127_2741242.html
Liaoning|27|0|14 serious|https://m.weibo.cn/status/4465408070927331
Tianjin|23|0|17 serious|https://m.weibo.cn/detail/4465498383636775
Shaanxi|35|0||http://sxwjw.shaanxi.gov.cn/art/2020/1/27/art_9_67483.html
Yunnan|26|0|1 serious|http://www.bjnews.com.cn/news/2020/01/27/680367.html
Heilongjiang|21|1|3 serious|http://wsjkw.hlj.gov.cn/index.php/Home/Zwgk/show/newsid/7725/navid/42/stypeid/
Guizhou|7|0|1 serious|https://mp.weixin.qq.com/s?__biz=MjM5MTg5OTM0Ng==&amp;mid=2651448627&amp;idx=1&amp;sn=e26391f0e764bfd4fc2a9a1bc15502ff&amp;chksm=bd53ce8e8a2447985560b9a62b2a5f567693ac25032b0209cc489c49d91862fd480e4664094e&amp;token=566312186&amp;lang=zh_CN#rd
Jilin|6|0||https://m.weibo.cn/status/4465279285636514
Xinjiang|5|0|1 serious|http://www.xjhfpc.gov.cn/info/1495/17361.htm
Ningxia|7|0||http://wsjkw.nx.gov.cn/info/1140/13291.htm
Hebei|18|1||http://www.bjnews.com.cn/news/2020/01/27/680119.html
Gansu|14|0|3 serious|http://www.bjnews.com.cn/news/2020/01/27/680112.html
Shanxi|13|0||http://wjw.shanxi.gov.cn/wjywl02/24356.hrh
Inner Mongolia|11|0||http://wjw.nmg.gov.cn/doc/2020/01/27/285096.shtml
Qinghai|6|0|All stable|https://wsjkw.qinghai.gov.cn/zhxw/xwzx/2020/01/27/1580130159651.html
CHINA TOTAL|2,839|82||
Hong Kong|8|0||https://www.info.gov.hk/gia/general/202001/27/P2020012700049.htm
Taiwan|5|0||https://www.cdc.gov.tw/Bulletin/Detail/gOZvd4ZaGpSDVoVRC2Qesg?typeid=9
Macau|6|0||https://www.tdm.com.mo/c_news/radio_news.php?id=452638
GREATER CHINA TOTAL|19|0||
Thailand|8|0||https://www.channelnewsasia.com/news/asia/wuhan-virus-thailand-public-anger-coronavirus-12348838
Singapore|4|0|Stable|https://www.straitstimes.com/singapore/health/singapore-confirms-2-more-wuhan-virus-cases-bringing-total-to-three-infected
France|3|0||https://solidarites-sante.gouv.fr/actualites/presse/communiques-de-presse/article/cp-coronavirus
Malaysia|4|0||https://twitter.com/bernamadotcom/status/1220913295021883392
Japan|4|0||https://www.mhlw.go.jp/stf/newpage_09100.html
South Korea|4|0||https://en.yna.co.kr/view/AEN20200127002400320?section=science/medicine
United States|5|0||https://www.azdhs.gov/director/public-information-office/index.php#news-release-012620
Vietnam|2|0|Stable|https://www.moh.gov.vn/web/guest/tin-noi-bat/-/asset_publisher/hwUjUacn23Hf/content/hai-ca-duong-tinh-ncov-ang-ieu-tri-tai-bv-cho-ray
Nepal|1|0||https://kathmandupost.com/2/2020/01/24/officials-confirm-novel-coronavirus-in-nepali-man-who-returned-from-wuhan-earlier-this-month
Australia|5|0||https://twitter.com/7NewsSydney/status/1221654335794237440
Canada|1|0||https://news.ontario.ca/mohltc/en/2020/01/ontario-confirms-second-presumptive-case-of-wuhan-novel-coronavirus.html
Cambodia|1|0||https://twitter.com/VOD_English/status/1221769368180121603
INTERNATIONAL TOTAL|42|0||
# source: BNO @ https://bnonews.com/index.php/2020/01/the-latest-coronavirus-cases/
# update: 2020-01-27 19:54:00 ET
# place|confirmed_cases|deaths|notes|sources
Hubei|2,714|100|563 serious, 127 critical|http://wjw.hubei.gov.cn/fbjd/dtyw/202001/t20200127_2015306.shtml
Guangdong|151|0||http://wsjkw.gd.gov.cn/zwyw_yqxx/content/post_2879455.html
Zhejiang|128|0|18 serious|https://www.zjwjw.gov.cn/art/2020/1/27/art_1202101_41857304.html
Chongqing|110|0|13 serious, 1 critical|http://wsjkw.cq.gov.cn/tzgg/20200127/249875.html
Hunan|100|0|22 serious|http://www.bjnews.com.cn/news/2020/01/27/680091.html
Anhui|70|0||http://wjw.ah.gov.cn/news_details_54053.html
Beijing|80|1|12 serious, 2 critical|https://m.weibo.cn/status/4465486110924457
Shanghai|66|1|2 critical|https://m.weibo.cn/status/4465618377910238
Henan|168|1|30 serious/critical|http://www.bjnews.com.cn/news/2020/01/28/680581.html
Sichuan|69|0|3 critical|https://m.weibo.cn/status/4465278295913574
Shandong|87|0||https://m.weibo.cn/status/4465625562716443
Guangxi|51|0|5 serious|http://wsjkw.gxzf.gov.cn/gzdt/bt/2020/0128/68043.html
Jiangxi|72|0|7 serious|http://hc.jiangxi.gov.cn/doc/2020/01/28/137758.shtml
Fujian|59|0|3 serious, 1 critical|https://mp.weixin.qq.com/s/_bvLKwgVAxWLChb-dciN0w
Jiangsu|47|0|1 serious|https://m.weibo.cn/status/4465265679169440
Hainan|33|1|5 serious|http://wst.hainan.gov.cn/swjw/rdzt/yqfk/202001/t20200127_2741242.html
Liaoning|27|0|14 serious|https://m.weibo.cn/status/4465408070927331
Tianjin|23|0|17 serious|https://m.weibo.cn/detail/4465498383636775
Shaanxi|35|0||http://sxwjw.shaanxi.gov.cn/art/2020/1/27/art_9_67483.html
Yunnan|26|0|1 serious|http://www.bjnews.com.cn/news/2020/01/27/680367.html
Heilongjiang|21|1|3 serious|http://wsjkw.hlj.gov.cn/index.php/Home/Zwgk/show/newsid/7725/navid/42/stypeid/
Guizhou|7|0|1 serious|https://mp.weixin.qq.com/s?__biz=MjM5MTg5OTM0Ng==&amp;mid=2651448627&amp;idx=1&amp;sn=e26391f0e764bfd4fc2a9a1bc15502ff&amp;chksm=bd53ce8e8a2447985560b9a62b2a5f567693ac25032b0209cc489c49d91862fd480e4664094e&amp;token=566312186&amp;lang=zh_CN#rd
Jilin|6|0||https://m.weibo.cn/status/4465279285636514
Xinjiang|5|0|1 serious|http://www.xjhfpc.gov.cn/info/1495/17361.htm
Ningxia|7|0||http://wsjkw.nx.gov.cn/info/1140/13291.htm
Hebei|18|1||http://www.bjnews.com.cn/news/2020/01/27/680119.html
Gansu|14|0|3 serious|http://www.bjnews.com.cn/news/2020/01/27/680112.html
Shanxi|20|0||http://wjw.shanxi.gov.cn/wjywl02/24356.hrh
Inner Mongolia|11|0||http://wjw.nmg.gov.cn/doc/2020/01/27/285096.shtml
Qinghai|6|0|All stable|https://wsjkw.qinghai.gov.cn/zhxw/xwzx/2020/01/27/1580130159651.html
CHINA TOTAL|4,231|106||
Hong Kong|8|0||https://www.info.gov.hk/gia/general/202001/27/P2020012700049.htm
Taiwan|5|0||https://www.cdc.gov.tw/Bulletin/Detail/gOZvd4ZaGpSDVoVRC2Qesg?typeid=9
Macau|6|0||https://www.tdm.com.mo/c_news/radio_news.php?id=452638
GREATER CHINA TOTAL|19|0||
Thailand|8|0||https://www.channelnewsasia.com/news/asia/wuhan-virus-thailand-public-anger-coronavirus-12348838
Singapore|5|0|Stable|https://www.moh.gov.sg/news-highlights/details/fifth-confirmed-imported-case-of-wuhan-coronavirus-infection-in-singapore-27Jan
France|3|0||https://solidarites-sante.gouv.fr/actualites/presse/communiques-de-presse/article/cp-coronavirus
Malaysia|4|0||https://twitter.com/bernamadotcom/status/1220913295021883392
Japan|4|0||https://www.mhlw.go.jp/stf/newpage_09100.html
South Korea|4|0||https://en.yna.co.kr/view/AEN20200127002400320?section=science/medicine
United States|5|0||https://www.azdhs.gov/director/public-information-office/index.php#news-release-012620
Vietnam|2|0|Stable|https://www.moh.gov.vn/web/guest/tin-noi-bat/-/asset_publisher/hwUjUacn23Hf/content/hai-ca-duong-tinh-ncov-ang-ieu-tri-tai-bv-cho-ray
Nepal|1|0||https://kathmandupost.com/2/2020/01/24/officials-confirm-novel-coronavirus-in-nepali-man-who-returned-from-wuhan-earlier-this-month
Australia|5|0||https://twitter.com/7NewsSydney/status/1221654335794237440
Canada|1|0||https://news.ontario.ca/mohltc/en/2020/01/ontario-confirms-second-presumptive-case-of-wuhan-novel-coronavirus.html
Cambodia|1|0||https://twitter.com/VOD_English/status/1221769368180121603
Sri Lanka|1|0||https://www.reuters.com/article/us-health-china-sri-lanka/sri-lanka-confirms-first-case-of-coronavirus-health-official-idUSKBN1ZQ1WF
Germany|1|0||https://www.stmgp.bayern.de/presse/bestaetigter-coronavirus-fall-in-bayern-infektionsschutzmassnahmen-laufen/
INTERNATIONAL TOTAL|45|0||
# source: BNO @ https://bnonews.com/index.php/2020/01/the-latest-coronavirus-cases/
# update: 2020-01-27 21:10:00 ET
# place|confirmed_cases|deaths|notes|sources
Hubei|2,714|100|563 serious, 127 critical|http://wjw.hubei.gov.cn/fbjd/dtyw/202001/t20200127_2015306.shtml
Guangdong|188|0|23 serious, 6 critical|http://wsjkw.gd.gov.cn/zwyw_yqxx/content/post_2879455.html
Zhejiang|173|0|31 serious|https://www.zjwjw.gov.cn/art/2020/1/28/art_1202101_41858479.html
Chongqing|132|0|13 serious, 3 critical|http://wsjkw.cq.gov.cn/tzgg/20200127/249875.html
Hunan|100|0|22 serious|http://www.bjnews.com.cn/news/2020/01/27/680091.html
Anhui|106|0||http://wjw.ah.gov.cn/news_details_54053.html
Beijing|80|1|12 serious, 2 critical|https://m.weibo.cn/status/4465486110924457
Shanghai|66|1|2 critical|https://m.weibo.cn/status/4465618377910238
Henan|168|1|30 serious/critical|http://www.bjnews.com.cn/news/2020/01/28/680581.html
Sichuan|90|0|2 critical|https://m.weibo.cn/status/4465631862612359
Shandong|87|0||https://m.weibo.cn/status/4465625562716443
Guangxi|51|0|5 serious|http://wsjkw.gxzf.gov.cn/gzdt/bt/2020/0128/68043.html
Jiangxi|72|0|7 serious|http://hc.jiangxi.gov.cn/doc/2020/01/28/137758.shtml
Fujian|59|0|3 serious, 1 critical|https://mp.weixin.qq.com/s/_bvLKwgVAxWLChb-dciN0w
Jiangsu|70|0|1 serious|https://m.weibo.cn/status/4465265679169440
Hainan|33|1|5 serious|http://wst.hainan.gov.cn/swjw/rdzt/yqfk/202001/t20200127_2741242.html
Liaoning|27|0|14 serious|https://m.weibo.cn/status/4465408070927331
Tianjin|23|0|17 serious|https://m.weibo.cn/detail/4465498383636775
Shaanxi|35|0||http://sxwjw.shaanxi.gov.cn/art/2020/1/27/art_9_67483.html
Yunnan|26|0|1 serious|http://www.bjnews.com.cn/news/2020/01/27/680367.html
Heilongjiang|30|1|3 serious|http://wsjkw.hlj.gov.cn/index.php/Home/Zwgk/show/newsid/7725/navid/42/stypeid/
Guizhou|9|0|1 serious|https://mp.weixin.qq.com/s?__biz=MjM5MTg5OTM0Ng==&amp;mid=2651448627&amp;idx=1&amp;sn=e26391f0e764bfd4fc2a9a1bc15502ff&amp;chksm=bd53ce8e8a2447985560b9a62b2a5f567693ac25032b0209cc489c49d91862fd480e4664094e&amp;token=566312186&amp;lang=zh_CN#rd
Jilin|6|0||https://m.weibo.cn/status/4465279285636514
Xinjiang|10|0|2 serious|http://www.xjhfpc.gov.cn/info/1495/17361.htm
Ningxia|11|0||http://wsjkw.nx.gov.cn/info/1140/13291.htm
Hebei|33|1||https://m.weibo.cn/status/4465641119066699
Gansu|19|0|4 serious|http://www.bjnews.com.cn/news/2020/01/28/680623.html
Shanxi|20|0||http://wjw.shanxi.gov.cn/wjywl02/24356.hrh
Inner Mongolia|13|0||http://wjw.nmg.gov.cn/doc/2020/01/27/285096.shtml
Qinghai|6|0|All stable|https://wsjkw.qinghai.gov.cn/zhxw/xwzx/2020/01/27/1580130159651.html
CHINA TOTAL|4,457|106||
Hong Kong|8|0||https://www.info.gov.hk/gia/general/202001/27/P2020012700049.htm
Taiwan|5|0||https://www.cdc.gov.tw/Bulletin/Detail/gOZvd4ZaGpSDVoVRC2Qesg?typeid=9
Macau|6|0||https://www.tdm.com.mo/c_news/radio_news.php?id=452638
GREATER CHINA TOTAL|19|0||
Thailand|8|0||https://www.channelnewsasia.com/news/asia/wuhan-virus-thailand-public-anger-coronavirus-12348838
Singapore|5|0|Stable|https://www.moh.gov.sg/news-highlights/details/fifth-confirmed-imported-case-of-wuhan-coronavirus-infection-in-singapore-27Jan
France|3|0||https://solidarites-sante.gouv.fr/actualites/presse/communiques-de-presse/article/cp-coronavirus
Malaysia|4|0||https://twitter.com/bernamadotcom/status/1220913295021883392
Japan|4|0||https://www.mhlw.go.jp/stf/newpage_09100.html
South Korea|4|0||https://en.yna.co.kr/view/AEN20200127002400320?section=science/medicine
United States|5|0||https://www.azdhs.gov/director/public-information-office/index.php#news-release-012620
Vietnam|2|0|Stable|https://www.moh.gov.vn/web/guest/tin-noi-bat/-/asset_publisher/hwUjUacn23Hf/content/hai-ca-duong-tinh-ncov-ang-ieu-tri-tai-bv-cho-ray
Nepal|1|0||https://kathmandupost.com/2/2020/01/24/officials-confirm-novel-coronavirus-in-nepali-man-who-returned-from-wuhan-earlier-this-month
Australia|5|0||https://twitter.com/7NewsSydney/status/1221654335794237440
Canada|1|0||https://news.ontario.ca/mohltc/en/2020/01/ontario-confirms-second-presumptive-case-of-wuhan-novel-coronavirus.html
Cambodia|1|0||https://twitter.com/VOD_English/status/1221769368180121603
Sri Lanka|1|0||https://www.reuters.com/article/us-health-china-sri-lanka/sri-lanka-confirms-first-case-of-coronavirus-health-official-idUSKBN1ZQ1WF
Germany|1|0||https://www.stmgp.bayern.de/presse/bestaetigter-coronavirus-fall-in-bayern-infektionsschutzmassnahmen-laufen/
INTERNATIONAL TOTAL|45|0||
# source: BNO @ https://bnonews.com/index.php/2020/01/the-latest-coronavirus-cases/
# update: 2020-01-28 3:20:00 ET
# place|confirmed_cases|deaths|notes|sources
Hubei|2,714|100|563 serious, 127 critical|http://wjw.hubei.gov.cn/fbjd/dtyw/202001/t20200127_2015306.shtml
Guangdong|188|0|23 serious, 6 critical|http://wsjkw.gd.gov.cn/zwyw_yqxx/content/post_2879455.html
Zhejiang|173|0|31 serious|https://www.zjwjw.gov.cn/art/2020/1/28/art_1202101_41858479.html
Chongqing|132|0|13 serious, 3 critical|http://wsjkw.cq.gov.cn/tzgg/20200127/249875.html
Hunan|143|0|31 serious|http://wjw.hunan.gov.cn/wjw/xxgk/gzdt/zyxw_1/202001/t20200128_11165123.html
Anhui|106|0||http://wjw.ah.gov.cn/news_details_54053.html
Beijing|80|1|12 serious, 2 critical|https://m.weibo.cn/status/4465486110924457
Shanghai|66|1|2 critical|https://m.weibo.cn/status/4465618377910238
Henan|168|1|30 serious/critical|http://www.bjnews.com.cn/news/2020/01/28/680581.html
Sichuan|90|0|2 critical|https://m.weibo.cn/status/4465631862612359
Shandong|87|0||https://m.weibo.cn/status/4465625562716443
Guangxi|51|0|5 serious|http://wsjkw.gxzf.gov.cn/gzdt/bt/2020/0128/68043.html
Jiangxi|72|0|7 serious|http://hc.jiangxi.gov.cn/doc/2020/01/28/137758.shtml
Fujian|73|0|5 serious, 2 critical|http://headline.fjtv.net/folder875/2020-01-28/2159688.html
Jiangsu|70|0|1 serious|https://m.weibo.cn/status/4465627765335686
Hainan|40|1|5 serious|http://wst.hainan.gov.cn/swjw/rdzt/yqfk/202001/t20200127_2741242.html
Liaoning|30|0|14 serious|https://m.weibo.cn/status/4465674388295355
Tianjin|24|0|17 serious|https://m.weibo.cn/status/4465671490798980
Shaanxi|35|0||http://sxwjw.shaanxi.gov.cn/art/2020/1/27/art_9_67483.html
Yunnan|26|0|1 serious|http://www.bjnews.com.cn/news/2020/01/27/680367.html
Heilongjiang|30|1|3 serious|http://wsjkw.hlj.gov.cn/index.php/Home/Zwgk/show/newsid/7725/navid/42/stypeid/
Guizhou|9|0|1 serious|https://mp.weixin.qq.com/s?__biz=MjM5MTg5OTM0Ng==&amp;mid=2651448627&amp;idx=1&amp;sn=e26391f0e764bfd4fc2a9a1bc15502ff&amp;chksm=bd53ce8e8a2447985560b9a62b2a5f567693ac25032b0209cc489c49d91862fd480e4664094e&amp;token=566312186&amp;lang=zh_CN#rd
Jilin|8|0||https://m.weibo.cn/status/4465279285636514
Xinjiang|10|0|2 serious|http://www.xjhfpc.gov.cn/info/1495/17361.htm
Ningxia|11|0||http://wsjkw.nx.gov.cn/info/1140/13291.htm
Hebei|33|1||https://m.weibo.cn/status/4465641119066699
Gansu|19|0|4 serious|http://www.bjnews.com.cn/news/2020/01/28/680623.html
Shanxi|20|0||http://wjw.shanxi.gov.cn/wjywl02/24356.hrh
Inner Mongolia|13|0||http://wjw.nmg.gov.cn/doc/2020/01/27/285096.shtml
Qinghai|6|0|All stable|https://wsjkw.qinghai.gov.cn/zhxw/xwzx/2020/01/27/1580130159651.html
CHINA TOTAL|4,527|106||
Hong Kong|8|0||https://www.info.gov.hk/gia/general/202001/27/P2020012700049.htm
Taiwan|7|0||https://www.cdc.gov.tw/Bulletin/Detail/-lN6bM-ZCU-nWv1gUIXxOg?typeid=9
Macau|7|0||https://www.tdm.com.mo/c_news/radio_news.php?id=452787
GREATER CHINA TOTAL|22|0||
Thailand|14|0||https://news.thaipbs.or.th/content/288389
Singapore|7|0||
France|3|0||https://solidarites-sante.gouv.fr/actualites/presse/communiques-de-presse/article/cp-coronavirus
Malaysia|4|0||https://twitter.com/bernamadotcom/status/1220913295021883392
Japan|4|0||https://www.mhlw.go.jp/stf/newpage_09100.html
South Korea|4|0||https://en.yna.co.kr/view/AEN20200127002400320?section=science/medicine
United States|5|0||https://www.azdhs.gov/director/public-information-office/index.php#news-release-012620
Vietnam|2|0|Stable|https://www.moh.gov.vn/web/guest/tin-noi-bat/-/asset_publisher/hwUjUacn23Hf/content/hai-ca-duong-tinh-ncov-ang-ieu-tri-tai-bv-cho-ray
Nepal|1|0||https://kathmandupost.com/2/2020/01/24/officials-confirm-novel-coronavirus-in-nepali-man-who-returned-from-wuhan-earlier-this-month
Australia|5|0||https://twitter.com/7NewsSydney/status/1221654335794237440
Canada|1|0||https://news.ontario.ca/mohltc/en/2020/01/ontario-confirms-second-presumptive-case-of-wuhan-novel-coronavirus.html
Cambodia|1|0||https://twitter.com/VOD_English/status/1221769368180121603
Sri Lanka|1|0||https://www.reuters.com/article/us-health-china-sri-lanka/sri-lanka-confirms-first-case-of-coronavirus-health-official-idUSKBN1ZQ1WF
Germany|1|0||https://www.stmgp.bayern.de/presse/bestaetigter-coronavirus-fall-in-bayern-infektionsschutzmassnahmen-laufen/
INTERNATIONAL TOTAL|53|0||
# source: BNO @ https://bnonews.com/index.php/2020/01/the-latest-coronavirus-cases/
# update: 2020-01-28 7:33:00 ET
# place|confirmed_cases|deaths|notes|sources
Hubei|2,714|100|563 serious, 127 critical|http://wjw.hubei.gov.cn/fbjd/dtyw/202001/t20200127_2015306.shtml
Guangdong|207|0|20 serious, 6 critical|http://wsjkw.gd.gov.cn/zwyw_yqxx/content/post_2879855.html
Zhejiang|173|0|31 serious|https://www.zjwjw.gov.cn/art/2020/1/28/art_1202101_41858479.html
Chongqing|132|0|13 serious, 3 critical|http://wsjkw.cq.gov.cn/tzgg/20200127/249875.html
Hunan|143|0|31 serious|http://wjw.hunan.gov.cn/wjw/xxgk/gzdt/zyxw_1/202001/t20200128_11165123.html
Anhui|106|0||http://wjw.ah.gov.cn/news_details_54053.html
